image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.00048828125,True,,True,,0,39.420967320431586,0.9988610221310635
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.001007080078125,True,,True,,0,38.31633209535344,0.9993319078309015
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,4.57763671875e-05,True,,True,,0,39.59112031362042,0.9990425035792175
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.00140380859375,True,,True,,0,38.53047851158054,0.9990190983108975
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0005950927734375,True,,True,,0,38.703924249086064,0.99939977339727
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.00018310546875,True,,True,,0,40.400144702424214,0.9982588087079126
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0009613037109375,True,,True,,0,39.41757418769105,0.9990181622586343
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0008087158203125,True,,True,,0,38.18282400869767,0.9994898432443164
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.00079345703125,True,,True,,0,38.52329634696203,0.9993291646251431
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0001220703125,True,,True,,0,39.47660346157454,0.9990208896824471
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.001434326171875,True,,True,,0,37.86495780578178,0.9991209365188801
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0003509521484375,True,,True,,0,39.34255155977975,0.9991087169866539
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.000457763671875,True,,True,,0,38.4107845496959,0.999346474630647
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0004119873046875,True,,True,,0,39.19902791035915,0.9990273229577343
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.003021240234375,True,,True,,0,38.147850244898144,0.9992431543611345
