image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003509521484375,True,,True,,0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006561279296875,True,,True,,0,38.311423332495096,0.9993311534602572
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000213623046875,True,,True,,0,39.57937105682994,0.9990398770001049
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.001495361328125,True,,True,,0,38.54317371556791,0.9990219381901293
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006256103515625,True,,True,,0,38.68982640859166,0.9993978118975444
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,7.62939453125e-05,True,,True,,0,40.4065805473421,0.9982613402512133
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.001220703125,True,,True,,0,39.420764415778024,0.9990189195064237
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006256103515625,True,,True,,0,38.174239029931904,0.9994886785149545
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0005340576171875,True,,True,,0,38.52950260810137,0.9993301418145909
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0001373291015625,True,,True,,0,39.48975817679548,0.999023860811435
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0013275146484375,True,,True,,0,37.859698506584266,0.9991198645587303
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0002593994140625,True,,True,,0,39.34349841864099,0.9991088927661212
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000518798828125,True,,True,,0,38.39688737034267,0.9993443468466529
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0007476806640625,True,,True,,0,39.1986776348868,0.9990271274633912
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.003448486328125,True,,True,,0,38.168338330434885,0.9992467096892191
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000640869140625,True,,True,,0,39.05643819500112,0.9994780349450209
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0009002685546875,True,,True,,0,38.27855835503684,0.9990112826336801
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00048828125,True,,True,,0,38.549012604988384,0.9994447958200232
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000732421875,True,,True,,0,38.915692600412925,0.9990408274196672
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.001617431640625,True,,True,,0,38.5100105630816,0.9994330682049885
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0004730224609375,True,,True,,0,39.12403008373027,0.9992497431516566
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000762939453125,True,,True,,0,37.97690037504655,0.9992038973923782
